City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Kushima,JP,2021-05-26 19:45:01,31.4583,131.2333,75.83,93,100,14.67
181,Hof,DE,2021-05-26 19:45:02,50.3167,11.9167,50.92,84,100,15.01
182,Itoman,JP,2021-05-26 19:45:02,26.1247,127.6694,80.98,94,20,16.11
183,Mar Del Plata,AR,2021-05-26 19:42:26,-38.0023,-57.5575,64.42,55,0,17.27
184,Manokwari,ID,2021-05-26 19:45:02,-0.8667,134.0833,76.26,87,100,2.46
185,Flin Flon,CA,2021-05-26 19:45:03,54.7682,-101.865,40.84,38,1,4.12
186,Cukai,MY,2021-05-26 19:45:04,4.25,103.4167,80.74,91,100,3.38
187,Moranbah,AU,2021-05-26 19:45:04,-22.0016,148.0466,57.56,79,0,1.88
188,Shubarshi,KZ,2021-05-26 19:45:05,48.5872,57.1869,78.35,36,73,16.4
189,Bogense,DK,2021-05-26 19:45:05,55.5669,10.0886,50.76,95,100,8.77
190,Vila Velha,BR,2021-05-26 19:43:23,-20.3297,-40.2925,78.75,77,20,5.01
191,Gushikawa,JP,2021-05-26 19:45:06,26.3544,127.8686,80.19,89,40,19.33
192,Coahuayana,MX,2021-05-26 19:45:07,18.7333,-103.6833,96.28,44,100,7.9
193,Novikovo,RU,2021-05-26 19:45:07,51.1537,37.8879,60.8,75,22,3.71
194,Victoria,HK,2021-05-26 19:41:38,22.2855,114.1577,85.32,86,62,1.99
195,Humaita,BR,2021-05-26 19:45:08,-7.5061,-63.0208,93.78,40,34,3.18
196,Vila Franca Do Campo,PT,2021-05-26 19:45:08,37.7167,-25.4333,63.01,88,100,11.86
197,Xiangxiang,CN,2021-05-26 19:45:09,27.7333,112.5333,68.09,95,100,2.48
198,Alice,US,2021-05-26 19:45:09,27.7523,-98.0697,91.31,64,75,13.8
199,Westport,US,2021-05-26 19:45:10,41.1415,-73.3579,92.01,73,1,1.01
200,Broome,US,2021-05-26 19:45:10,42.2506,-75.833,82.33,61,90,5.99
201,Tuktoyaktuk,CA,2021-05-26 19:45:10,69.4541,-133.0374,30.2,74,75,11.5
202,Ketchikan,US,2021-05-26 19:45:11,55.3422,-131.6461,48.67,81,90,4.61
203,Harper,LR,2021-05-26 19:45:11,4.375,-7.7169,80.11,84,32,9.48
204,Port Shepstone,ZA,2021-05-26 19:45:12,-30.7414,30.455,66.09,84,84,6.06
205,Verkhnyaya Sinyachikha,RU,2021-05-26 19:45:12,57.976,61.6673,48.58,86,95,7.74
206,Quelimane,MZ,2021-05-26 19:45:12,-17.8786,36.8883,67.95,77,20,1.99
207,Jalu,LY,2021-05-26 19:45:13,29.0331,21.5482,87.62,11,0,8.21
208,Ahipara,NZ,2021-05-26 19:45:13,-35.1667,173.1667,51.04,74,6,4.32
209,Te Karaka,NZ,2021-05-26 19:45:13,-38.4654,177.8679,48.85,96,72,2.13
210,Havelock,US,2021-05-26 19:45:14,34.8791,-76.9013,93.16,74,40,8.99
211,Chokurdakh,RU,2021-05-26 19:45:14,70.6333,147.9167,34.95,76,44,7.92
212,Maceio,BR,2021-05-26 19:45:14,-9.6658,-35.7353,81.84,69,40,9.95
213,Tabou,CI,2021-05-26 19:45:15,4.423,-7.3528,80.2,83,73,9.44
214,Cuenca,EC,2021-05-26 19:45:15,-2.8833,-78.9833,68.13,52,75,9.22
215,Ugoofaaru,MV,2021-05-26 19:45:16,5.6667,73.0,82.36,69,100,24.07
216,Saskylakh,RU,2021-05-26 19:44:03,71.9167,114.0833,36.93,96,100,8.01
217,Zyryanovsk,KZ,2021-05-26 19:45:16,49.7386,84.2719,61.21,68,0,2.06
218,Shelburne,CA,2021-05-26 19:45:17,44.0787,-80.2041,71.76,76,100,18.52
219,Bredasdorp,ZA,2021-05-26 19:45:17,-34.5322,20.0403,51.28,93,100,1.54
220,Mehamn,NO,2021-05-26 19:45:17,71.0357,27.8492,41.18,68,12,5.03
221,Altay,CN,2021-05-26 19:45:18,47.8667,88.1167,66.94,27,0,8.01
222,Upington,ZA,2021-05-26 19:45:18,-28.4478,21.2561,61.18,39,99,2.3
223,Faya,SA,2021-05-26 19:44:53,18.3851,42.4509,71.71,44,2,2.1
224,Saiha,IN,2021-05-26 19:45:19,22.4833,92.9667,68.54,90,15,3.44
225,Lamas,PE,2021-05-26 19:45:19,-6.4167,-76.5333,84.67,50,62,2.82
226,Masuguru,TZ,2021-05-26 19:45:19,-11.3667,38.4167,72.43,54,91,1.7
227,Trapani,IT,2021-05-26 19:45:20,37.8333,12.6667,66.27,77,0,6.38
228,Bloomington,US,2021-05-26 19:45:20,44.8408,-93.2983,66.06,49,20,8.99
229,Tepalcatepec,MX,2021-05-26 19:45:20,19.1833,-102.85,101.75,16,100,4.52
230,Kamenka,RU,2021-05-26 19:45:21,51.3223,42.7678,58.64,69,94,5.7
231,Veliki Preslav,BG,2021-05-26 19:45:21,43.1667,26.8167,56.3,90,94,4.56
232,Malino,PH,2021-05-26 19:45:21,15.1257,120.6727,82.85,89,75,1.5
233,Souillac,MU,2021-05-26 19:44:26,-20.5167,57.5167,73.78,94,75,4.72
234,Nome,US,2021-05-26 19:45:22,64.5011,-165.4064,64.47,21,1,12.66
235,Sondrio,IT,2021-05-26 19:45:22,46.169,9.8692,62.24,90,47,2.48
236,Leh,IN,2021-05-26 19:45:22,34.1667,77.5833,44.46,39,0,3.87
237,Longyearbyen,SJ,2021-05-26 19:45:23,78.2186,15.6401,35.44,75,75,14.97
238,Saint Anthony,US,2021-05-26 19:45:23,45.0205,-93.218,65.66,48,1,1.99
239,Qasigiannguit,GL,2021-05-26 19:45:23,68.8193,-51.1922,61.05,45,77,11.99
240,Mporokoso,ZM,2021-05-26 19:45:24,-9.3727,30.125,56.32,66,2,4.12
241,Acajutla,SV,2021-05-26 19:43:52,13.5928,-89.8275,97.14,65,100,5.91
242,Coihaique,CL,2021-05-26 19:45:24,-45.5752,-72.0662,51.75,54,90,10.36
243,Richards Bay,ZA,2021-05-26 19:45:25,-28.783,32.0377,64.63,92,4,4.12
244,Lida,BY,2021-05-26 19:45:25,53.8833,25.2997,49.46,83,84,7.49
245,San Quintin,MX,2021-05-26 19:43:51,30.4833,-115.95,68.16,64,99,12.08
246,Balkhash,KZ,2021-05-26 19:45:25,46.844,74.9804,74.26,29,34,7.61
247,Katsuura,JP,2021-05-26 19:45:26,35.1333,140.3,68.11,82,100,8.1
248,Namikupa,TZ,2021-05-26 19:45:26,-10.8333,39.6,64.29,96,19,1.88
249,Matay,EG,2021-05-26 19:45:27,28.419,30.7792,85.3,24,0,20.94
250,Jutai,BR,2021-05-26 19:45:27,-5.1833,-68.9,81.5,75,83,3.02
251,Alfafar,ES,2021-05-26 19:45:28,39.4167,-0.3833,67.98,71,20,3.0
252,Vredendal,ZA,2021-05-26 19:45:28,-31.6683,18.5012,62.33,40,100,1.07
253,Mokhsogollokh,RU,2021-05-26 19:44:34,61.4681,128.9203,50.76,63,100,2.51
254,Barranca,PE,2021-05-26 19:45:28,-10.75,-77.7667,69.01,79,23,7.78
255,Ballina,AU,2021-05-26 19:45:29,-28.8667,153.5667,58.96,87,15,8.05
256,Abyek,IR,2021-05-26 19:45:29,36.0667,50.55,58.66,67,0,4.52
257,Belfast,GB,2021-05-26 19:45:29,54.5833,-5.9333,55.99,65,75,8.05
258,Barahona,DO,2021-05-26 19:45:30,18.2085,-71.1008,91.22,58,20,17.27
259,Neiafu,TO,2021-05-26 19:45:30,-18.65,-173.9833,70.48,94,75,0.0
260,Puri,IN,2021-05-26 19:45:30,19.8,85.85,81.37,72,100,23.89
261,Bitkine,TD,2021-05-26 19:45:31,11.9801,18.2138,90.34,8,6,3.76
262,Tura,IN,2021-05-26 19:45:31,25.5198,90.2201,72.7,84,88,5.53
263,Lebu,CL,2021-05-26 19:45:32,-37.6167,-73.65,58.84,88,99,5.55
264,Saint George,US,2021-05-26 19:43:50,37.1041,-113.5841,93.67,12,1,1.99
265,Charlestown,AU,2021-05-26 19:45:32,-32.95,151.6667,52.41,77,0,1.99
266,Karratha,AU,2021-05-26 19:45:33,-20.7377,116.8463,71.82,55,6,15.99
267,Riwaka,NZ,2021-05-26 19:45:33,-41.0833,173.0,50.59,86,1,3.89
268,Beloha,MG,2021-05-26 19:45:33,-25.1667,45.05,64.9,91,0,6.91
269,Puerto Penasco,MX,2021-05-26 19:45:34,31.3167,-113.5333,78.91,60,64,10.0
270,Stawell,AU,2021-05-26 19:45:34,-37.05,142.7667,45.03,92,37,5.3
271,Aller,ES,2021-05-26 19:45:35,43.1187,-5.5839,64.06,95,42,2.1
272,Mlandizi,TZ,2021-05-26 19:45:36,-6.7,38.7333,75.45,94,29,2.15
273,Lakes Entrance,AU,2021-05-26 19:45:36,-37.8811,147.981,47.17,70,51,14.18
274,Arman,RU,2021-05-26 19:45:22,59.7,150.1667,41.43,84,100,3.13
275,Kruszwica,PL,2021-05-26 19:45:37,52.6756,18.3313,52.05,91,97,12.19
276,Kyren,RU,2021-05-26 19:45:37,51.6828,102.1408,38.89,86,10,1.81
277,Visby,SE,2021-05-26 19:45:38,57.6409,18.296,49.86,87,75,19.57
278,Hobart,AU,2021-05-26 19:45:38,-42.8794,147.3294,48.06,74,90,5.01
279,Cascais,PT,2021-05-26 19:43:10,38.6979,-9.4215,71.46,52,20,11.99
280,Porto Novo,BJ,2021-05-26 19:44:07,6.4965,2.6036,84.02,80,100,9.75
281,Singapore,SG,2021-05-26 19:42:35,1.2897,103.8501,82.35,88,75,7.58
282,Caloundra,AU,2021-05-26 19:45:39,-26.8,153.1333,61.05,95,11,5.55
283,Bull Savanna,JM,2021-05-26 19:45:39,17.8868,-77.5902,81.39,75,100,11.65
284,Zhezkazgan,KZ,2021-05-26 19:45:40,47.8043,67.7144,74.93,21,34,1.61
285,Port Augusta,AU,2021-05-26 19:45:40,-32.5,137.7667,44.71,81,0,1.92
286,Bocanda,CI,2021-05-26 19:45:41,7.0626,-4.4995,77.11,87,78,3.74
287,Port Elizabeth,ZA,2021-05-26 19:45:41,-33.918,25.5701,54.1,80,98,4.29
288,Morondava,MG,2021-05-26 19:45:41,-20.2833,44.2833,70.07,82,0,8.81
289,Parana,AR,2021-05-26 19:42:17,-31.732,-60.5238,66.09,62,51,1.77
290,Coxim,BR,2021-05-26 19:45:42,-18.5067,-54.76,86.41,54,32,2.84
291,Loknya,RU,2021-05-26 19:45:42,56.83,30.1467,47.05,91,40,5.19
292,Alofi,NU,2021-05-26 19:45:43,-19.0595,-169.9187,76.89,94,33,4.61
293,Albina,SR,2021-05-26 19:45:43,5.5,-54.05,78.94,94,95,3.94
294,Gwadar,PK,2021-05-26 19:46:59,25.1216,62.3254,88.05,68,11,10.07
