,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Oeiras Do Para,BR,-2.0031,-49.8544,79.99,76,51,2.37,broken clouds
230,Baker City,US,44.7749,-117.8344,72.16,19,1,5.75,clear sky
231,Monticello,US,45.3055,-93.7941,66.74,37,1,8.55,clear sky
232,Aykhal,RU,66.0,111.5,54.81,55,26,6.78,scattered clouds
233,Yellowknife,CA,62.456,-114.3525,54.32,34,75,1.99,broken clouds
234,Saint-Philippe,RE,-21.3585,55.7679,69.35,81,15,5.14,few clouds
235,Toora-Khem,RU,52.4675,96.11,35.4,79,85,2.71,overcast clouds
236,Tiko,CM,4.0745,9.3699,80.44,88,74,3.27,broken clouds
237,Wojkowice,PL,50.3651,19.0365,49.51,96,75,1.01,light rain
238,Altamira,BR,-3.2033,-52.2064,80.04,70,74,1.21,broken clouds
239,Kyzyl-Suu,KG,42.3414,78.0056,55.49,57,14,4.27,few clouds
240,Rock Springs,US,41.5875,-109.2029,71.04,21,1,12.3,clear sky
241,Pasni,PK,25.2631,63.471,84.47,78,11,13.31,few clouds
242,San Antonio,US,29.4241,-98.4936,87.85,55,1,6.91,clear sky
243,Tessalit,ML,20.1986,1.0114,94.39,7,100,7.25,overcast clouds
244,Gao,ML,16.6362,1.637,90.97,6,19,10.16,few clouds
245,Beyneu,KZ,45.3167,55.2,79.68,40,67,8.08,broken clouds
246,Irtyshskiy,RU,58.3333,68.1333,58.78,71,57,8.95,broken clouds
247,Gorom-Gorom,BF,14.4439,-0.2361,92.59,16,9,6.02,clear sky
248,Alagoinhas,BR,-12.1356,-38.4192,68.77,86,93,4.38,overcast clouds
249,Talpa,MX,28.8257,-111.6257,103.98,35,29,10.0,scattered clouds
250,Umm Kaddadah,SD,13.6017,26.6876,89.51,12,22,16.75,few clouds
251,Agnibilekrou,CI,7.1344,-3.2047,75.29,91,55,4.54,broken clouds
252,Nsanje,MW,-16.92,35.262,63.09,48,0,1.9,clear sky
253,Tucuman,AR,-26.8241,-65.2226,60.8,51,75,2.71,broken clouds
254,Genhe,CN,50.7833,121.5167,50.09,77,90,1.86,overcast clouds
255,Graaff-Reinet,ZA,-32.2522,24.5308,49.93,68,22,3.94,few clouds
256,Peleduy,RU,59.6289,112.7406,42.4,80,100,6.89,overcast clouds
257,Birjand,IR,32.8663,59.2211,66.67,20,0,4.61,clear sky
258,Vitim,RU,59.4511,112.5578,43.3,75,100,7.14,overcast clouds
259,Langpas,PH,5.975,120.949,79.54,77,99,2.51,overcast clouds
260,Yuanping,CN,38.7153,112.7575,60.53,54,55,1.57,broken clouds
261,Colesberg,ZA,-30.72,25.0972,43.41,58,62,4.07,broken clouds
262,Kokuy,RU,52.2037,117.5529,53.15,84,100,3.74,overcast clouds
263,Cape Town,ZA,-33.9258,18.4232,56.12,91,20,3.29,few clouds
264,Elat,IL,29.5581,34.9482,82.24,23,0,11.5,clear sky
265,Talnakh,RU,69.4865,88.3972,26.15,98,89,2.28,overcast clouds
266,Flin Flon,CA,54.7682,-101.865,49.84,76,90,14.7,overcast clouds
267,Mandalgovi,MN,45.7625,106.2708,47.64,54,40,15.39,scattered clouds
268,Mancio Lima,BR,-7.6142,-72.8958,86.07,79,20,0.76,few clouds
269,Atar,MR,20.5169,-13.0499,91.76,22,61,17.0,broken clouds
270,Manicore,BR,-5.8092,-61.3003,81.68,66,91,1.97,overcast clouds
271,Kyabe,TD,9.4515,18.9449,88.54,32,76,4.32,broken clouds
272,Mayo,US,38.8876,-76.5119,53.71,93,90,13.0,light rain
273,Inirida,CO,3.8653,-67.9239,76.05,96,80,2.21,broken clouds
274,Qandala,SO,11.472,49.8728,87.22,61,20,2.62,few clouds
275,Tucupita,VE,9.0622,-62.051,74.5,98,34,3.4,scattered clouds
276,Tongzi,CN,28.7829,105.0877,68.43,94,100,1.86,overcast clouds
277,Clinton,US,42.587,-82.9199,64.72,43,20,4.0,few clouds
278,Archidona,ES,37.0965,-4.3887,69.94,75,92,4.9,overcast clouds
279,Harnosand,SE,62.6323,17.9379,50.0,73,6,5.99,clear sky
280,Zhezkazgan,KZ,47.8043,67.7144,69.89,49,60,5.23,broken clouds
281,Jermuk,AM,39.8417,45.6723,50.88,49,8,4.05,clear sky
282,Longyearbyen,SJ,78.2186,15.6401,33.64,69,75,6.91,broken clouds
283,Sassandra,CI,4.95,-6.0833,79.9,87,96,6.44,overcast clouds
284,Teguldet,RU,57.3064,88.1667,35.85,61,28,2.71,scattered clouds
285,Tasiilaq,GL,65.6145,-37.6368,37.56,90,100,13.76,overcast clouds
286,Moncada,ES,39.5456,-0.3955,71.49,56,0,1.99,clear sky
287,Puksoozero,RU,62.5903,40.6066,29.44,89,4,4.94,clear sky
288,Khandbari,NP,27.3747,87.2039,69.8,88,65,2.13,broken clouds
289,Suure-Jaani,EE,58.5361,25.4706,40.93,70,4,4.85,clear sky
290,Pokrovsk,UA,48.282,37.1758,58.64,95,47,5.95,scattered clouds
291,Jimenez,MX,28.3333,-105.4,93.94,4,20,11.56,few clouds
292,Juxtlahuaca,MX,17.4294,-99.1467,84.6,52,78,9.22,broken clouds
293,Nagercoil,IN,8.1667,77.4333,80.19,84,89,15.57,overcast clouds
294,Thunder Bay,CA,48.4001,-89.3168,67.98,25,75,14.97,broken clouds
295,Chapleau,CA,47.8405,-83.4034,64.49,17,1,4.61,clear sky
296,Consolacion Del Sur,CU,22.5047,-83.5136,78.64,72,97,4.0,overcast clouds
297,Oum Hadjer,TD,13.2954,19.6966,90.45,12,39,6.58,scattered clouds
